2022-04-01 21:14:58 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065
2022-04-01 21:14:59 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065
2022-04-01 21:15:00 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065
2022-04-01 21:15:10 EPC: 0072190000000000000003FF, TID: E280110520005586D4260065
2022-04-01 21:15:11 EPC: 0072190000000000000003FF, TID: E280110520005586D4260065
2022-04-01 21:15:18 EPC: 00721900000000000000037D, TID: E280110520005746D3D90065
2022-04-01 21:15:19 EPC: 00721900000000000000037D, TID: E280110520005746D3D90065
2022-04-01 21:16:26 EPC: 007219000000000000000409, TID: E280110520005146D2E90065
2022-04-01 21:16:27 EPC: 007219000000000000000409, TID: E280110520005146D2E90065
2022-04-01 21:16:37 EPC: 007219000000000000000414, TID: E280110520005506D3D90065
2022-04-01 21:16:38 EPC: 007219000000000000000414, TID: E280110520005506D3D90065
2022-04-01 21:16:39 EPC: 007219000000000000000414, TID: E280110520005506D3D90065
2022-04-01 21:16:50 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B
2022-04-01 21:16:51 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B
2022-04-01 21:16:52 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B
2022-04-01 21:17:14 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B
2022-04-01 21:17:15 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B
2022-04-01 21:17:17 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B
2022-04-01 21:17:25 EPC: 007219000000000000000414, TID: E280110520005506D3D90065
2022-04-01 21:17:26 EPC: 007219000000000000000414, TID: E280110520005506D3D90065
2022-04-01 21:17:27 EPC: 007219000000000000000414, TID: E280110520005506D3D90065
2022-04-01 21:17:36 EPC: 007219000000000000000409, TID: E280110520005146D2E90065
2022-04-01 21:17:37 EPC: 007219000000000000000409, TID: E280110520005146D2E90065
2022-04-01 21:17:38 EPC: 007219000000000000000409, TID: E280110520005146D2E90065
2022-04-01 21:17:58 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065
2022-04-01 21:23:44 EPC: 044145000000000000002277, TID: E280110C2000749CBB870A11
2022-04-01 21:23:45 EPC: 044145000000000000002277, TID: E280110C2000749CBB870A11
2022-04-01 21:23:54 EPC: 007219000000000000000B15, TID: E280110520005283D3BE0065
2022-04-01 21:23:55 EPC: 007219000000000000000B15, TID: E280110520005283D3BE0065
2022-04-01 21:23:57 EPC: 007219000000000000000B15, TID: E280110520005283D3BE0065
2022-04-01 21:24:05 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:06 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:07 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:08 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:10 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:11 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:12 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:13 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:14 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:15 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:17 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:18 EPC: 007219000000000000000557, TID: E28011052000591DD2720065
2022-04-01 21:24:28 EPC: 0072190000000000000003CD, TID: E28011052000599CD2270065
2022-04-01 21:24:29 EPC: 0072190000000000000003CD, TID: E28011052000599CD2270065
2022-04-01 21:24:40 EPC: 007219000000000000000BAB, TID: E280110520005A85D3F20065
2022-04-01 21:24:41 EPC: 007219000000000000000BAB, TID: E280110520005A85D3F20065
2022-04-01 21:24:47 EPC: 007219000000000000000A31, TID: E28011052000530AD1580065
2022-04-01 21:24:54 EPC: 007219000000000000000A31, TID: E28011052000530AD1580065
2022-04-01 21:24:55 EPC: 007219000000000000000A31, TID: E28011052000530AD1580065
2022-04-01 21:24:56 EPC: 007219000000000000000A31, TID: E28011052000530AD1580065
2022-04-01 21:24:57 EPC: 007219000000000000000A31, TID: E28011052000530AD1580065
2022-04-01 21:24:58 EPC: 007219000000000000000A31, TID: E28011052000530AD1580065
2022-04-01 21:24:59 EPC: 007219000000000000000A31, TID: E28011052000530AD1580065
