2022-04-02 21:09:03 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:08 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:09 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:10 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:11 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:12 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:13 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:14 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:22 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:23 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:24 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:25 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:34 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-02 21:09:35 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-02 21:09:36 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-02 21:09:45 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:09:46 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:09:47 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:10:03 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:10:04 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:10:19 EPC: 00721900000000000000040F, TID: E2801105200054DCD25A0065
2022-04-02 21:10:28 EPC: 006815000000000000001684, TID: E2801105200055452D4F021B
2022-04-02 21:10:29 EPC: 006815000000000000001684, TID: E2801105200055452D4F021B
2022-04-02 21:10:39 EPC: 007219000000000000000439, TID: E28011052000591CD2270065
2022-04-02 21:10:40 EPC: 007219000000000000000439, TID: E28011052000591CD2270065
2022-04-02 21:10:41 EPC: 007219000000000000000439, TID: E28011052000591CD2270065
2022-04-02 21:10:47 EPC: 007219000000000000000439, TID: E28011052000591CD2270065
2022-04-02 21:10:48 EPC: 007219000000000000000439, TID: E28011052000591CD2270065
2022-04-02 21:10:49 EPC: 007219000000000000000439, TID: E28011052000591CD2270065
2022-04-02 21:10:58 EPC: 006815000000000000001684, TID: E2801105200055452D4F021B
2022-04-02 21:10:59 EPC: 006815000000000000001684, TID: E2801105200055452D4F021B
2022-04-02 21:11:00 EPC: 006815000000000000001684, TID: E2801105200055452D4F021B
2022-04-02 21:11:06 EPC: 00721900000000000000040F, TID: E2801105200054DCD25A0065
2022-04-02 21:11:07 EPC: 00721900000000000000040F, TID: E2801105200054DCD25A0065
2022-04-02 21:11:08 EPC: 00721900000000000000040F, TID: E2801105200054DCD25A0065
2022-04-02 21:11:10 EPC: 00721900000000000000040F, TID: E2801105200054DCD25A0065
2022-04-02 21:11:10 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:11:19 EPC: 00721900000000000000040F, TID: E2801105200054DCD25A0065
2022-04-02 21:11:20 EPC: 00721900000000000000040F, TID: E2801105200054DCD25A0065
2022-04-02 21:11:48 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:11:49 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:11:58 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-02 21:11:59 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-02 21:12:10 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:12:11 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:12:21 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:12:23 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:12:24 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:12:25 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:12:25 EPC: 007219000000000000000439, TID: E28011052000591CD2270065
2022-04-02 21:12:27 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:12:39 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-02 21:12:40 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-02 21:12:49 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:12:50 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:15:32 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11
2022-04-02 21:15:33 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11
2022-04-02 21:15:43 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15
