2022-03-31 21:30:49 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:59 EPC: 0072190000000000000004E5, TID: E280110520005359D1590065, ANT: 01
2022-03-31 21:31:00 EPC: 0072190000000000000004E5, TID: E280110520005359D1590065, ANT: 01
2022-03-31 21:31:07 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065, ANT: 01
2022-03-31 21:31:08 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065, ANT: 01
2022-03-31 21:31:34 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065, ANT: 01
2022-03-31 21:31:35 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065, ANT: 01
2022-03-31 21:31:43 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065, ANT: 01
2022-03-31 21:31:44 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065, ANT: 01
2022-03-31 21:31:53 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065, ANT: 01
2022-03-31 21:31:54 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065, ANT: 01
2022-03-31 21:31:56 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065, ANT: 01
2022-03-31 21:32:10 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065, ANT: 01
2022-03-31 21:32:11 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065, ANT: 01
2022-03-31 21:32:13 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065, ANT: 01
2022-03-31 21:32:21 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065, ANT: 01
2022-03-31 21:32:22 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065, ANT: 01
2022-03-31 21:32:30 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065, ANT: 01
2022-03-31 21:32:32 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065, ANT: 01
2022-03-31 21:32:33 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065, ANT: 01
2022-03-31 21:32:40 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065, ANT: 01
2022-03-31 21:32:41 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065, ANT: 01
2022-03-31 21:33:42 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15, ANT: 01
2022-03-31 21:33:43 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15, ANT: 01
2022-03-31 21:33:52 EPC: 04414500000000000000261C, TID: E280110C2000729CBB490A11, ANT: 01
2022-03-31 21:34:02 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15, ANT: 01
2022-03-31 21:34:03 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15, ANT: 01
2022-03-31 21:34:05 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15, ANT: 01
2022-03-31 21:34:05 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15, ANT: 01
2022-03-31 21:34:14 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15, ANT: 01
2022-03-31 21:34:15 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15, ANT: 01
2022-03-31 21:34:28 EPC: 04414500000000000000234F, TID: E280110C2000730DEAB40A15, ANT: 01
2022-03-31 21:34:40 EPC: 007219000000000000000B0F, TID: E280110520005244D3320065, ANT: 01
2022-03-31 21:34:49 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:34:50 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:34:52 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:34:52 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:34:55 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:34:55 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:34:55 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:34:58 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:34:58 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:35:01 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:35:01 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:35:01 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:35:04 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:35:04 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:35:07 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
2022-03-31 21:36:10 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065, ANT: 01
2022-03-31 21:36:18 EPC: 007219000000000000000399, TID: E28011052000570BD2550065, ANT: 01
2022-03-31 21:36:19 EPC: 007219000000000000000399, TID: E28011052000570BD2550065, ANT: 01
2022-03-31 21:36:29 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-03-31 21:36:30 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-03-31 21:36:32 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-03-31 21:36:41 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-03-31 21:36:42 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-03-31 21:36:44 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-03-31 21:36:44 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-03-31 21:36:53 EPC: 007219000000000000000399, TID: E28011052000570BD2550065, ANT: 01
2022-03-31 21:36:54 EPC: 007219000000000000000399, TID: E28011052000570BD2550065, ANT: 01
2022-03-31 21:37:03 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065, ANT: 01
2022-03-31 21:37:04 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065, ANT: 01
2022-03-31 21:37:21 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065, ANT: 01
2022-03-31 21:37:40 EPC: 007219000000000000000445, TID: E28011052000531AD1590065, ANT: 01
2022-03-31 21:37:41 EPC: 007219000000000000000445, TID: E28011052000531AD1590065, ANT: 01
2022-03-31 21:37:49 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065, ANT: 01
2022-03-31 21:37:50 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065, ANT: 01
2022-03-31 21:38:00 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-03-31 21:38:01 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-03-31 21:38:03 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-03-31 21:38:13 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-03-31 21:38:14 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-03-31 21:38:16 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-03-31 21:38:25 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065, ANT: 01
2022-03-31 21:38:26 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065, ANT: 01
2022-03-31 21:38:34 EPC: 007219000000000000000445, TID: E28011052000531AD1590065, ANT: 01
